Index;Date;Temperature;Activity;X-axis;Y-axis;Z-axis;Marker
28860;8/8/2018 0:00;26.05;0;0.594481;0.0548656;0.795848;
28920;8/8/2018 0:01;26.01;0;0.594481;0.0548656;0.795848;
28980;8/8/2018 0:02;25.91;0;0.594481;0.0548656;0.795848;
29040;8/8/2018 0:03;25.86;0;0.594481;0.0548656;0.795848;
29100;8/8/2018 0:04;25.77;0;0.594481;0.0548656;0.795848;
29160;8/8/2018 0:05;25.71;0;0.594481;0.0548656;0.795848;
29220;8/8/2018 0:06;25.68;0;0.594481;0.0548656;0.795848;
29280;8/8/2018 0:07;25.64;0;0.594481;0.0548656;0.795848;
29340;8/8/2018 0:08;25.58;0;0.594481;0.0548656;0.795848;
29400;8/8/2018 0:09;25.55;0;0.594481;0.0548656;0.795848;
29460;8/8/2018 0:10;25.48;0;0.594481;0.0548656;0.795848;
29520;8/8/2018 0:11;25.44;0;0.594481;0.0548656;0.795848;
29580;8/8/2018 0:12;25.39;0;0.594481;0.0548656;0.795848;
29640;8/8/2018 0:13;25.34;0;0.594481;0.0548656;0.795848;
29700;8/8/2018 0:14;25.3;0;0.594481;0.0548656;0.795848;
29760;8/8/2018 0:15;25.27;0;0.578954;0.0396432;0.795848;
29820;8/8/2018 0:16;25.23;0;0.594481;0.0548656;0.795848;
29880;8/8/2018 0:17;25.16;0;0.578954;0.0396432;0.795848;
29940;8/8/2018 0:18;25.14;0;0.578954;0.0548656;0.795848;
30000;8/8/2018 0:19;25.18;0;0.578954;0.0396432;0.795848;
30060;8/8/2018 0:20;25.25;0;0.578954;0.0396432;0.795848;
30120;8/8/2018 0:21;25.31;0;0.578954;0.0396432;0.795848;
30180;8/8/2018 0:22;25.41;0;0.578954;0.0548656;0.810655;
30240;8/8/2018 0:23;25.49;0;0.578954;0.0396432;0.795848;
30300;8/8/2018 0:24;25.6;0;0.578954;0.0396432;0.795848;
30360;8/8/2018 0:25;25.71;0;0.578954;0.0396432;0.795848;
30420;8/8/2018 0:26;25.8;0;0.578954;0.0396432;0.795848;
30480;8/8/2018 0:27;25.89;0;0.578954;0.0396432;0.795848;
30540;8/8/2018 0:28;26;0;0.578954;0.0396432;0.795848;
30600;8/8/2018 0:29;26.09;0;0.578954;0.0396432;0.795848;
30660;8/8/2018 0:30;26.17;0;0.578954;0.0396432;0.795848;
30720;8/8/2018 0:31;26.27;0;0.578954;0.0396432;0.795848;
30780;8/8/2018 0:32;26.38;0;0.578954;0.0396432;0.795848;
30840;8/8/2018 0:33;26.43;0;0.578954;0.0396432;0.795848;
