Index;Date;Temperature;Activity;X-axis;Y-axis;Z-axis;Marker
37200;17/8/2018 0:00;27.31;1;-0.946362;0.28479;0.216716;
37260;17/8/2018 0:01;27.21;0;-0.946362;0.269916;0.23148;
37320;17/8/2018 0:02;27.18;0;-0.931028;0.269916;0.246243;
37380;17/8/2018 0:03;27.15;0;-0.931028;0.299663;0.201952;
37440;17/8/2018 0:04;27.13;0;-0.946362;0.28479;0.157662;
37500;17/8/2018 0:05;27.13;4;-0.961696;0.28479;-0.0637922;
37560;17/8/2018 0:06;27.09;1;-0.961696;0.28479;0.0543165;
37620;17/8/2018 0:07;27.27;57;-0.685681;0.433526;0.556279;
37680;17/8/2018 0:08;27.58;0;-0.685681;0.433526;0.556279;
37740;17/8/2018 0:09;27.87;0;-0.685681;0.4484;0.571042;
37800;17/8/2018 0:10;28.16;22;-0.455669;-0.78611;0.452934;
37860;17/8/2018 0:11;28.46;0;-0.440334;-0.800984;0.43817;
37920;17/8/2018 0:12;28.7;2;-0.363664;-0.696869;0.630097;
37980;17/8/2018 0:13;28.77;7;-0.593676;-0.548132;0.615333;
38040;17/8/2018 0:14;28.79;8;-0.885025;-0.0573033;0.497224;
38100;17/8/2018 0:15;28.8;0;-0.869691;-0.0573033;0.497224;
38160;17/8/2018 0:16;28.8;0;-0.869691;-0.0424297;0.526752;
38220;17/8/2018 0:17;28.78;0;-0.885025;-0.116798;0.482461;
38280;17/8/2018 0:18;28.75;2;-0.823688;-0.146545;0.556279;
38340;17/8/2018 0:19;28.67;0;-0.839023;-0.0721769;0.556279;
38400;17/8/2018 0:20;28.65;1;-0.946362;0.0914329;0.571042;
38460;17/8/2018 0:21;28.64;4;-0.79302;0.150927;0.511988;
38520;17/8/2018 0:22;28.63;14;-0.854357;-0.027556;0.541515;
38580;17/8/2018 0:23;28.75;0;-0.839023;-0.0424297;0.556279;
38640;17/8/2018 0:24;28.77;469;-0.839023;-0.191166;0.349588;
38700;17/8/2018 0:25;30.18;656;-1.03837;-0.146545;-0.00473786;
38760;17/8/2018 0:26;31.04;261;-1.0077;-0.206039;0.113371;
38820;17/8/2018 0:27;31.77;114;-0.961696;-0.310155;0.157662;
38880;17/8/2018 0:28;32.56;833;-0.931028;-0.0870505;0.0690801;
38940;17/8/2018 0:29;32.89;78;-0.931028;-0.473764;-0.0785558;
39000;17/8/2018 0:30;33.26;1;-0.915693;-0.473764;-0.122847;
39060;17/8/2018 0:31;33.49;0;-0.915693;-0.488638;-0.0933194;
39120;17/8/2018 0:32;33.67;0;-0.915693;-0.488638;-0.0933194;
39180;17/8/2018 0:33;33.84;0;-0.915693;-0.488638;-0.108083;
39240;17/8/2018 0:34;34.05;8;-0.946362;-0.399396;-0.167137;
39300;17/8/2018 0:35;34.37;301;-0.762352;-0.444017;0.157662;
39360;17/8/2018 0:36;34.75;12;-0.915693;-0.325028;-0.403355;
39420;17/8/2018 0:37;35.06;6;-0.885025;-0.354776;-0.418119;
39480;17/8/2018 0:38;35.24;7;-0.885025;-0.310155;-0.462409;
39540;17/8/2018 0:39;35.32;2;-0.97703;-0.280407;-0.270483;
39600;17/8/2018 0:40;35.34;0;-0.869691;-0.295281;-0.5067;
39660;17/8/2018 0:41;35.4;5;-0.992364;-0.25066;-0.196665;
39720;17/8/2018 0:42;35.45;291;-1.0077;-0.146545;-0.108083;
39780;17/8/2018 0:43;35.55;29;-1.02303;-0.161419;-0.00473786;
39840;17/8/2018 0:44;35.05;31;-0.915693;-0.399396;0.157662;
39900;17/8/2018 0:45;34.35;11;-1.02303;-0.191166;0.0100257;
39960;17/8/2018 0:46;33.63;3;-0.992364;-0.295281;0.0543165;
40020;17/8/2018 0:47;32.97;11;-0.97703;-0.339902;0.0247893;
40080;17/8/2018 0:48;32.34;5;-0.992364;-0.25066;-0.152374;
40140;17/8/2018 0:49;31.78;423;-0.900359;0.106306;0.305298;
40200;17/8/2018 0:50;30.88;991;-1.80507;0.626883;-1.14153;
40260;17/8/2018 0:51;28.96;1299;-0.624344;0.136054;-0.0195015;
40320;17/8/2018 0:52;27.5;780;-0.900359;0.225295;0.349588;
40380;17/8/2018 0:53;27.21;106;-0.915693;0.255043;0.290534;
40440;17/8/2018 0:54;27.13;49;-0.854357;0.165801;0.541515;
40500;17/8/2018 0:55;27.13;131;-0.961696;-0.206039;0.261007;
40560;17/8/2018 0:56;27.08;175;-0.915693;-0.0126824;0.630097;
40620;17/8/2018 0:57;27.07;133;-0.961696;0.0914329;0.393879;
40680;17/8/2018 0:58;27.04;148;-0.79302;0.0170648;0.60057;
40740;17/8/2018 0:59;26.99;173;-0.961696;-0.0573033;0.467697;
40800;17/8/2018 1:00;26.93;63;-0.97703;-0.0126824;0.142898;
40860;17/8/2018 1:01;26.87;55;-0.915693;0.00219118;0.452934;
40920;17/8/2018 1:02;26.79;58;-0.97703;0.0616856;0.364352;
40980;17/8/2018 1:03;26.73;116;-1.06904;0.0170648;-0.0637922;
41040;17/8/2018 1:04;26.67;71;-1.03837;0.0616856;0.113371;
41100;17/8/2018 1:05;26.68;94;-0.961696;0.046812;0.0247893;
41160;17/8/2018 1:06;26.3;1125;-0.747018;0.12118;0.0395529;
41220;17/8/2018 1:07;25.94;661;-0.992364;0.225295;0.261007;
41280;17/8/2018 1:08;26.35;266;-1.0077;0.046812;-0.00473786;
41340;17/8/2018 1:09;26.6;0;-1.0077;0.0616856;-0.00473786;
41400;17/8/2018 1:10;26.72;0;-1.0077;0.0616856;0.0100257;
41460;17/8/2018 1:11;26.8;0;-1.0077;0.0616856;0.0100257;
41520;17/8/2018 1:12;26.91;0;-1.0077;0.0616856;0.0100257;
41580;17/8/2018 1:13;26.99;0;-1.0077;0.0616856;0.0100257;
41640;17/8/2018 1:14;27.07;0;-1.0077;0.0616856;0.0100257;
41700;17/8/2018 1:15;27.13;0;-1.0077;0.0765592;0.0100257;
41760;17/8/2018 1:16;27.16;0;-1.0077;0.0616856;0.0100257;
41820;17/8/2018 1:17;27.18;0;-1.0077;0.0616856;0.0100257;
41880;17/8/2018 1:18;27.19;0;-1.0077;0.0616856;0.0100257;
41940;17/8/2018 1:19;27.21;0;-1.0077;0.0616856;0.0100257;
42000;17/8/2018 1:20;27.23;0;-1.0077;0.0616856;0.0247893;
42060;17/8/2018 1:21;27.24;0;-1.0077;0.0616856;0.0100257;
42120;17/8/2018 1:22;27.2;0;-1.0077;0.0616856;0.0100257;
42180;17/8/2018 1:23;27.18;0;-1.0077;0.0616856;0.0100257;
42240;17/8/2018 1:24;27.14;0;-1.0077;0.0616856;0.0100257;
42300;17/8/2018 1:25;27.15;0;-1.0077;0.0616856;0.0100257;
42360;17/8/2018 1:26;27.12;0;-1.0077;0.0616856;0.0100257;
42420;17/8/2018 1:27;27.13;0;-1.0077;0.0616856;0.0100257;
42480;17/8/2018 1:28;27.09;0;-1.0077;0.0616856;0.0100257;
42540;17/8/2018 1:29;27.08;0;-1.0077;0.0616856;0.0100257;
42600;17/8/2018 1:30;27.04;0;-1.0077;0.0616856;0.0100257;
42660;17/8/2018 1:31;26.98;0;-1.0077;0.0616856;0.0100257;
42720;17/8/2018 1:32;26.91;0;-1.0077;0.0616856;0.0100257;
42780;17/8/2018 1:33;26.84;0;-1.0077;0.0616856;0.0100257;
42840;17/8/2018 1:34;26.77;0;-1.0077;0.0616856;0.0100257;
42900;17/8/2018 1:35;26.75;0;-1.0077;0.0616856;0.0247893;
42960;17/8/2018 1:36;26.73;0;-1.0077;0.0616856;0.0100257;
43020;17/8/2018 1:37;26.68;0;-1.0077;0.0616856;0.0100257;
43080;17/8/2018 1:38;26.66;0;-1.0077;0.0616856;0.0100257;
43140;17/8/2018 1:39;26.64;0;-1.0077;0.0616856;0.0100257;
43200;17/8/2018 1:40;26.61;0;-1.0077;0.0616856;0.0100257;
43260;17/8/2018 1:41;26.55;0;-1.0077;0.0616856;0.0100257;
43320;17/8/2018 1:42;26.48;0;-1.0077;0.0616856;0.0100257;
43380;17/8/2018 1:43;26.43;0;-1.0077;0.0616856;0.0100257;
43440;17/8/2018 1:44;26.4;0;-1.0077;0.0616856;0.0100257;
43500;17/8/2018 1:45;26.38;0;-1.0077;0.0616856;0.0100257;
43560;17/8/2018 1:46;26.37;0;-1.0077;0.0616856;0.0247893;
43620;17/8/2018 1:47;26.35;0;-1.0077;0.0616856;0.0100257;
43680;17/8/2018 1:48;26.32;0;-1.0077;0.0616856;0.0100257;
43740;17/8/2018 1:49;26.27;0;-1.0077;0.0616856;0.0247893;
43800;17/8/2018 1:50;26.23;0;-1.0077;0.0616856;0.0247893;
43860;17/8/2018 1:51;26.18;0;-1.0077;0.0616856;0.0247893;
43920;17/8/2018 1:52;26.14;0;-1.0077;0.0616856;0.0100257;
43980;17/8/2018 1:53;26.1;0;-1.0077;0.0616856;0.0100257;
44040;17/8/2018 1:54;26.06;0;-1.0077;0.0616856;0.0100257;
44100;17/8/2018 1:55;26.06;0;-1.0077;0.0616856;0.0100257;
44160;17/8/2018 1:56;26.04;0;-1.0077;0.0616856;0.0100257;
44220;17/8/2018 1:57;26.04;0;-1.0077;0.0616856;0.0247893;
44280;17/8/2018 1:58;26.06;0;-1.0077;0.0616856;0.0100257;
44340;17/8/2018 1:59;26.1;0;-1.0077;0.0616856;0.0100257;
44400;17/8/2018 2:00;26.15;0;-1.0077;0.0616856;0.0100257;
44460;17/8/2018 2:01;26.16;0;-1.0077;0.0616856;0.0100257;
44520;17/8/2018 2:02;26.17;0;-1.0077;0.0616856;0.0247893;
44580;17/8/2018 2:03;26.19;0;-1.0077;0.0616856;0.0247893;
44640;17/8/2018 2:04;26.18;0;-1.0077;0.0616856;0.0247893;
44700;17/8/2018 2:05;26.16;0;-1.0077;0.0616856;0.0247893;
44760;17/8/2018 2:06;26.17;0;-1.0077;0.0616856;0.0247893;
44820;17/8/2018 2:07;26.13;0;-1.0077;0.0616856;0.0247893;
44880;17/8/2018 2:08;26.12;0;-1.0077;0.0616856;0.0100257;
44940;17/8/2018 2:09;26.1;0;-1.0077;0.0616856;0.0247893;
45000;17/8/2018 2:10;26.08;0;-1.0077;0.0616856;0.0100257;
45060;17/8/2018 2:11;26.04;0;-1.0077;0.0616856;0.0247893;
45120;17/8/2018 2:12;26;0;-1.0077;0.0616856;0.0247893;
45180;17/8/2018 2:13;25.95;0;-1.0077;0.0616856;0.0247893;
45240;17/8/2018 2:14;25.93;0;-1.0077;0.0616856;0.0247893;
45300;17/8/2018 2:15;25.89;0;-1.0077;0.0765592;0.0247893;
45360;17/8/2018 2:16;25.87;0;-1.0077;0.0616856;0.0247893;
45420;17/8/2018 2:17;25.83;0;-1.0077;0.0616856;0.0247893;
45480;17/8/2018 2:18;25.8;0;-1.0077;0.0616856;0.0100257;
45540;17/8/2018 2:19;25.79;0;-1.0077;0.0616856;0.0247893;
45600;17/8/2018 2:20;25.79;0;-1.0077;0.0616856;0.0100257;
45660;17/8/2018 2:21;25.78;0;-1.0077;0.0616856;0.0247893;
45720;17/8/2018 2:22;25.78;0;-1.0077;0.0616856;0.0247893;
45780;17/8/2018 2:23;25.77;0;-1.0077;0.0616856;0.0247893;
45840;17/8/2018 2:24;25.75;0;-1.0077;0.0616856;0.0247893;
45900;17/8/2018 2:25;25.73;0;-1.0077;0.0616856;0.0100257;
45960;17/8/2018 2:26;25.71;0;-1.0077;0.0616856;0.0100257;
46020;17/8/2018 2:27;25.7;0;-1.0077;0.0616856;0.0100257;
46080;17/8/2018 2:28;25.68;0;-1.0077;0.0616856;0.0247893;
46140;17/8/2018 2:29;25.67;0;-1.0077;0.0616856;0.0247893;
46200;17/8/2018 2:30;25.69;0;-1.0077;0.0616856;0.0100257;
46260;17/8/2018 2:31;25.73;0;-1.0077;0.0616856;0.0247893;
46320;17/8/2018 2:32;25.76;0;-1.0077;0.0616856;0.0100257;
46380;17/8/2018 2:33;25.79;0;-1.0077;0.0616856;0.0100257;
46440;17/8/2018 2:34;25.8;0;-1.0077;0.0616856;0.0247893;
46500;17/8/2018 2:35;25.84;0;-1.0077;0.0616856;0.0247893;
46560;17/8/2018 2:36;25.88;0;-1.0077;0.0616856;0.0100257;
46620;17/8/2018 2:37;25.92;0;-1.0077;0.0765592;0.0247893;
46680;17/8/2018 2:38;25.99;0;-1.0077;0.0616856;0.0247893;
46740;17/8/2018 2:39;26.07;0;-1.0077;0.0616856;0.0247893;
46800;17/8/2018 2:40;26.08;0;-1.0077;0.0616856;0.0100257;
46860;17/8/2018 2:41;26.08;0;-1.0077;0.0616856;0.0100257;
46920;17/8/2018 2:42;26.05;0;-1.0077;0.0616856;0.0100257;
46980;17/8/2018 2:43;26.03;0;-1.0077;0.0616856;0.0247893;
47040;17/8/2018 2:44;25.99;0;-1.0077;0.0616856;0.0100257;
47100;17/8/2018 2:45;25.95;0;-1.0077;0.0616856;0.0100257;
47160;17/8/2018 2:46;25.91;0;-1.0077;0.0616856;0.0247893;
47220;17/8/2018 2:47;25.85;0;-1.0077;0.0616856;0.0100257;
47280;17/8/2018 2:48;25.8;0;-1.0077;0.0616856;0.0247893;
47340;17/8/2018 2:49;25.75;0;-1.0077;0.0616856;0.0247893;
47400;17/8/2018 2:50;25.67;0;-1.0077;0.0616856;0.0247893;
47460;17/8/2018 2:51;25.64;0;-1.0077;0.0616856;0.0247893;
47520;17/8/2018 2:52;25.62;0;-1.0077;0.0616856;0.0100257;
47580;17/8/2018 2:53;25.64;0;-1.0077;0.0616856;0.0247893;
47640;17/8/2018 2:54;25.68;0;-1.0077;0.0616856;0.0247893;
47700;17/8/2018 2:55;25.71;0;-1.0077;0.0765592;0.0247893;
47760;17/8/2018 2:56;25.73;0;-1.0077;0.0616856;0.0247893;
47820;17/8/2018 2:57;25.77;0;-1.0077;0.0765592;0.0247893;
