Index;Date;Temperature;Activity;X-axis;Y-axis;Z-axis;Marker
47400;28/8/2018 0:00;28.08;177;0.16122;0.304149;0.961243;
47460;28/8/2018 0:01;28.11;259;-0.0511934;0.332466;0.9468;
47520;28/8/2018 0:02;28.14;279;0.144881;0.304149;0.9468;
47580;28/8/2018 0:03;28.18;48;-0.0675329;0.304149;0.961243;
47640;28/8/2018 0:04;28.2;73;-0.0838724;-0.276353;0.874586;
47700;28/8/2018 0:05;28.24;582;0.0795228;-0.0922915;0.990128;
47760;28/8/2018 0:06;28.28;0;-0.0838724;-0.248036;0.990128;
47820;28/8/2018 0:07;28.31;256;-0.900849;-0.488732;-0.0786412;
47880;28/8/2018 0:08;28.37;1;-0.900849;-0.488732;-0.0786412;
47940;28/8/2018 0:09;28.46;2;-0.900849;-0.474573;-0.0930841;
48000;28/8/2018 0:10;28.56;1;-0.917188;-0.488732;-0.0786412;
48060;28/8/2018 0:11;28.7;1;-0.900849;-0.488732;-0.0930841;
48120;28/8/2018 0:12;28.8;0;-0.900849;-0.474573;-0.0930841;
48180;28/8/2018 0:13;28.9;3;-0.900849;-0.474573;-0.0786412;
48240;28/8/2018 0:14;29.02;1;-0.900849;-0.474573;-0.0930841;
48300;28/8/2018 0:15;29.1;1;-0.900849;-0.474573;-0.0786412;
48360;28/8/2018 0:16;29.19;0;-0.900849;-0.474573;-0.0786412;
48420;28/8/2018 0:17;29.27;0;-0.900849;-0.474573;-0.0786412;
48480;28/8/2018 0:18;29.34;0;-0.917188;-0.474573;-0.0930841;
48540;28/8/2018 0:19;29.41;1;-0.900849;-0.474573;-0.0930841;
48600;28/8/2018 0:20;29.49;0;-0.900849;-0.474573;-0.0930841;
48660;28/8/2018 0:21;29.55;1;-0.917188;-0.474573;-0.0786412;
48720;28/8/2018 0:22;29.61;0;-0.917188;-0.474573;-0.0930841;
48780;28/8/2018 0:23;29.68;0;-0.900849;-0.474573;-0.0930841;
48840;28/8/2018 0:24;29.74;0;-0.900849;-0.474573;-0.0786412;
48900;28/8/2018 0:25;29.78;0;-0.900849;-0.474573;-0.0786412;
48960;28/8/2018 0:26;29.83;0;-0.917188;-0.474573;-0.0786412;
49020;28/8/2018 0:27;29.88;0;-0.917188;-0.474573;-0.0786412;
49080;28/8/2018 0:28;29.92;0;-0.900849;-0.474573;-0.0930841;
49140;28/8/2018 0:29;29.95;0;-0.917188;-0.474573;-0.0930841;
49200;28/8/2018 0:30;29.99;0;-0.900849;-0.474573;-0.0786412;
49260;28/8/2018 0:31;30.04;0;-0.900849;-0.474573;-0.0786412;
49320;28/8/2018 0:32;30.08;0;-0.917188;-0.474573;-0.0786412;
49380;28/8/2018 0:33;30.1;0;-0.917188;-0.474573;-0.0786412;
49440;28/8/2018 0:34;30.14;0;-0.900849;-0.474573;-0.0786412;
49500;28/8/2018 0:35;30.18;0;-0.917188;-0.474573;-0.0930841;
49560;28/8/2018 0:36;30.22;0;-0.917188;-0.474573;-0.0786412;
49620;28/8/2018 0:37;30.24;0;-0.917188;-0.474573;-0.0786412;
49680;28/8/2018 0:38;30.26;0;-0.900849;-0.474573;-0.0930841;
49740;28/8/2018 0:39;30.3;0;-0.917188;-0.474573;-0.0786412;
49800;28/8/2018 0:40;30.32;0;-0.917188;-0.474573;-0.0786412;
49860;28/8/2018 0:41;30.35;0;-0.917188;-0.474573;-0.0786412;
49920;28/8/2018 0:42;30.38;0;-0.900849;-0.474573;-0.0930841;
49980;28/8/2018 0:43;30.39;0;-0.900849;-0.474573;-0.0786412;
50040;28/8/2018 0:44;30.43;0;-0.917188;-0.474573;-0.0786412;
50100;28/8/2018 0:45;30.46;0;-0.917188;-0.474573;-0.0930841;
50160;28/8/2018 0:46;30.47;0;-0.917188;-0.474573;-0.0930841;
50220;28/8/2018 0:47;30.49;0;-0.917188;-0.474573;-0.0786412;
50280;28/8/2018 0:48;30.53;0;-0.917188;-0.474573;-0.0930841;
50340;28/8/2018 0:49;30.55;0;-0.917188;-0.474573;-0.0786412;
50400;28/8/2018 0:50;30.59;0;-0.917188;-0.474573;-0.0930841;
50460;28/8/2018 0:51;30.59;0;-0.900849;-0.474573;-0.0930841;
50520;28/8/2018 0:52;30.61;0;-0.917188;-0.474573;-0.0786412;
50580;28/8/2018 0:53;30.63;0;-0.917188;-0.474573;-0.0786412;
50640;28/8/2018 0:54;30.64;0;-0.917188;-0.474573;-0.0786412;
50700;28/8/2018 0:55;30.68;0;-0.917188;-0.474573;-0.0930841;
50760;28/8/2018 0:56;30.7;0;-0.917188;-0.474573;-0.0786412;
50820;28/8/2018 0:57;30.72;0;-0.917188;-0.474573;-0.0786412;
50880;28/8/2018 0:58;30.73;0;-0.917188;-0.474573;-0.0786412;
50940;28/8/2018 0:59;30.76;0;-0.917188;-0.474573;-0.0786412;
51000;28/8/2018 1:00;30.75;0;-0.917188;-0.474573;-0.0786412;
51060;28/8/2018 1:01;30.78;0;-0.900849;-0.474573;-0.0930841;
51120;28/8/2018 1:02;30.78;0;-0.917188;-0.474573;-0.0786412;
51180;28/8/2018 1:03;30.8;0;-0.917188;-0.474573;-0.0930841;
51240;28/8/2018 1:04;30.83;0;-0.917188;-0.474573;-0.0786412;
51300;28/8/2018 1:05;30.82;0;-0.917188;-0.474573;-0.0786412;
51360;28/8/2018 1:06;30.84;0;-0.917188;-0.474573;-0.0786412;
51420;28/8/2018 1:07;30.82;0;-0.917188;-0.474573;-0.0786412;
51480;28/8/2018 1:08;30.85;0;-0.917188;-0.474573;-0.0930841;
51540;28/8/2018 1:09;30.86;0;-0.917188;-0.474573;-0.0786412;
51600;28/8/2018 1:10;30.86;0;-0.917188;-0.474573;-0.0786412;
51660;28/8/2018 1:11;30.88;0;-0.917188;-0.474573;-0.0786412;
51720;28/8/2018 1:12;30.88;0;-0.917188;-0.474573;-0.0786412;
51780;28/8/2018 1:13;30.88;0;-0.917188;-0.474573;-0.0786412;
51840;28/8/2018 1:14;30.89;0;-0.917188;-0.474573;-0.0786412;
51900;28/8/2018 1:15;30.88;0;-0.917188;-0.474573;-0.0786412;
51960;28/8/2018 1:16;30.9;0;-0.917188;-0.474573;-0.0786412;
52020;28/8/2018 1:17;30.9;0;-0.917188;-0.474573;-0.0786412;
52080;28/8/2018 1:18;30.91;0;-0.917188;-0.474573;-0.0930841;
52140;28/8/2018 1:19;30.92;0;-0.917188;-0.474573;-0.0786412;
52200;28/8/2018 1:20;30.93;0;-0.917188;-0.474573;-0.0786412;
52260;28/8/2018 1:21;30.93;0;-0.917188;-0.474573;-0.0786412;
52320;28/8/2018 1:22;30.91;0;-0.917188;-0.474573;-0.0786412;
52380;28/8/2018 1:23;30.93;0;-0.917188;-0.474573;-0.0786412;
52440;28/8/2018 1:24;30.94;0;-0.917188;-0.474573;-0.0786412;
52500;28/8/2018 1:25;30.94;0;-0.917188;-0.474573;-0.0930841;
52560;28/8/2018 1:26;30.95;0;-0.917188;-0.474573;-0.0930841;
52620;28/8/2018 1:27;30.96;0;-0.917188;-0.474573;-0.0930841;
52680;28/8/2018 1:28;30.95;0;-0.917188;-0.474573;-0.0930841;
52740;28/8/2018 1:29;30.97;0;-0.917188;-0.474573;-0.0786412;
52800;28/8/2018 1:30;30.97;0;-0.917188;-0.474573;-0.0786412;
52860;28/8/2018 1:31;30.96;0;-0.917188;-0.474573;-0.0786412;
52920;28/8/2018 1:32;30.98;0;-0.900849;-0.474573;-0.0930841;
52980;28/8/2018 1:33;30.97;0;-0.900849;-0.474573;-0.0786412;
53040;28/8/2018 1:34;30.99;0;-0.917188;-0.474573;-0.0786412;
53100;28/8/2018 1:35;31;0;-0.917188;-0.474573;-0.0930841;
53160;28/8/2018 1:36;31;0;-0.917188;-0.474573;-0.0786412;
53220;28/8/2018 1:37;31;0;-0.900849;-0.474573;-0.0786412;
53280;28/8/2018 1:38;30.99;0;-0.917188;-0.474573;-0.0786412;
53340;28/8/2018 1:39;31.01;0;-0.917188;-0.474573;-0.0786412;
53400;28/8/2018 1:40;30.99;0;-0.917188;-0.474573;-0.0786412;
53460;28/8/2018 1:41;31.01;0;-0.917188;-0.474573;-0.0786412;
53520;28/8/2018 1:42;31.01;0;-0.917188;-0.474573;-0.0930841;
53580;28/8/2018 1:43;31.01;0;-0.917188;-0.474573;-0.0786412;
53640;28/8/2018 1:44;31.01;0;-0.917188;-0.474573;-0.0786412;
53700;28/8/2018 1:45;31.03;0;-0.917188;-0.474573;-0.0786412;
53760;28/8/2018 1:46;31.02;0;-0.917188;-0.474573;-0.0786412;
53820;28/8/2018 1:47;31.02;0;-0.917188;-0.474573;-0.0786412;
53880;28/8/2018 1:48;31.05;0;-0.917188;-0.474573;-0.0786412;
53940;28/8/2018 1:49;31.04;0;-0.917188;-0.474573;-0.0786412;
54000;28/8/2018 1:50;31.03;0;-0.917188;-0.474573;-0.0786412;
54060;28/8/2018 1:51;31.05;0;-0.917188;-0.474573;-0.0786412;
54120;28/8/2018 1:52;31.05;0;-0.917188;-0.474573;-0.0786412;
54180;28/8/2018 1:53;31.07;0;-0.917188;-0.474573;-0.0786412;
54240;28/8/2018 1:54;31.05;0;-0.917188;-0.474573;-0.0786412;
54300;28/8/2018 1:55;31.07;0;-0.917188;-0.474573;-0.0930841;
54360;28/8/2018 1:56;31.05;0;-0.917188;-0.474573;-0.0786412;
54420;28/8/2018 1:57;31.04;0;-0.917188;-0.474573;-0.0930841;
54480;28/8/2018 1:58;31.08;0;-0.917188;-0.474573;-0.0786412;
54540;28/8/2018 1:59;31.06;0;-0.917188;-0.474573;-0.0786412;
54600;28/8/2018 2:00;31.09;0;-0.917188;-0.474573;-0.0786412;
54660;28/8/2018 2:01;31.07;0;-0.917188;-0.474573;-0.0786412;
54720;28/8/2018 2:02;31.06;0;-0.917188;-0.474573;-0.0786412;
54780;28/8/2018 2:03;31.07;0;-0.917188;-0.474573;-0.0930841;
54840;28/8/2018 2:04;31.09;0;-0.917188;-0.474573;-0.0786412;
54900;28/8/2018 2:05;31.08;0;-0.917188;-0.474573;-0.0786412;
54960;28/8/2018 2:06;31.09;0;-0.917188;-0.474573;-0.0786412;
55020;28/8/2018 2:07;31.09;0;-0.917188;-0.474573;-0.0786412;
55080;28/8/2018 2:08;31.08;0;-0.900849;-0.474573;-0.0930841;
55140;28/8/2018 2:09;31.1;0;-0.917188;-0.474573;-0.0786412;
