Index;Date;Temperature;Activity;X-axis;Y-axis;Z-axis;Marker
25200;29/7/2018 0:00;28.75;0;0.121451;-0.179663;0.95879;
25260;29/7/2018 0:01;28.76;0;0.121451;-0.179663;0.95879;
25320;29/7/2018 0:02;28.74;0;0.121451;-0.179663;0.95879;
25380;29/7/2018 0:03;28.72;0;0.121451;-0.179663;0.973276;
25440;29/7/2018 0:04;28.72;0;0.121451;-0.179663;0.95879;
25500;29/7/2018 0:05;28.71;0;0.121451;-0.179663;0.95879;
25560;29/7/2018 0:06;28.7;0;0.121451;-0.179663;0.95879;
25620;29/7/2018 0:07;28.66;0;0.121451;-0.179663;0.95879;
25680;29/7/2018 0:08;28.66;0;0.121451;-0.179663;0.95879;
25740;29/7/2018 0:09;28.64;0;0.121451;-0.179663;0.95879;
25800;29/7/2018 0:10;28.63;0;0.121451;-0.179663;0.95879;
25860;29/7/2018 0:11;28.62;0;0.121451;-0.179663;0.95879;
25920;29/7/2018 0:12;28.61;0;0.121451;-0.179663;0.95879;
25980;29/7/2018 0:13;28.59;0;0.121451;-0.179663;0.95879;
26040;29/7/2018 0:14;28.57;0;0.121451;-0.179663;0.95879;
26100;29/7/2018 0:15;28.55;0;0.121451;-0.179663;0.95879;
26160;29/7/2018 0:16;28.54;0;0.121451;-0.179663;0.95879;
26220;29/7/2018 0:17;28.53;0;0.121451;-0.179663;0.95879;
26280;29/7/2018 0:18;28.52;0;0.121451;-0.179663;0.95879;
26340;29/7/2018 0:19;28.5;0;0.121451;-0.179663;0.95879;
26400;29/7/2018 0:20;28.52;0;0.121451;-0.179663;0.973276;
26460;29/7/2018 0:21;28.51;0;0.121451;-0.179663;0.973276;
26520;29/7/2018 0:22;28.53;0;0.121451;-0.179663;0.95879;
26580;29/7/2018 0:23;28.54;0;0.121451;-0.179663;0.95879;
26640;29/7/2018 0:24;28.54;0;0.121451;-0.179663;0.95879;
26700;29/7/2018 0:25;28.54;0;0.121451;-0.179663;0.95879;
26760;29/7/2018 0:26;28.56;0;0.121451;-0.179663;0.95879;
26820;29/7/2018 0:27;28.55;0;0.121451;-0.179663;0.95879;
26880;29/7/2018 0:28;28.57;0;0.121451;-0.179663;0.95879;
26940;29/7/2018 0:29;28.54;0;0.121451;-0.179663;0.95879;
27000;29/7/2018 0:30;28.53;0;0.121451;-0.179663;0.95879;
27060;29/7/2018 0:31;28.54;0;0.121451;-0.179663;0.973276;
27120;29/7/2018 0:32;28.51;0;0.121451;-0.179663;0.973276;
27180;29/7/2018 0:33;28.49;0;0.121451;-0.179663;0.95879;
27240;29/7/2018 0:34;28.48;0;0.121451;-0.179663;0.95879;
27300;29/7/2018 0:35;28.48;0;0.121451;-0.179663;0.95879;
27360;29/7/2018 0:36;28.48;0;0.121451;-0.179663;0.973276;
27420;29/7/2018 0:37;28.48;0;0.121451;-0.179663;0.973276;
27480;29/7/2018 0:38;28.49;0;0.121451;-0.179663;0.973276;
27540;29/7/2018 0:39;28.46;0;0.121451;-0.179663;0.95879;
27600;29/7/2018 0:40;28.47;0;0.121451;-0.179663;0.973276;
27660;29/7/2018 0:41;28.47;0;0.121451;-0.179663;0.95879;
27720;29/7/2018 0:42;28.48;0;0.121451;-0.179663;0.95879;
27780;29/7/2018 0:43;28.48;0;0.121451;-0.179663;0.95879;
27840;29/7/2018 0:44;28.47;0;0.121451;-0.179663;0.95879;
27900;29/7/2018 0:45;28.48;0;0.121451;-0.179663;0.95879;
27960;29/7/2018 0:46;28.45;0;0.121451;-0.179663;0.95879;
28020;29/7/2018 0:47;28.43;0;0.121451;-0.179663;0.95879;
28080;29/7/2018 0:48;28.43;0;0.121451;-0.179663;0.95879;
28140;29/7/2018 0:49;28.42;0;0.121451;-0.179663;0.95879;
28200;29/7/2018 0:50;28.41;0;0.121451;-0.179663;0.973276;
28260;29/7/2018 0:51;28.4;0;0.121451;-0.179663;0.95879;
28320;29/7/2018 0:52;28.4;0;0.121451;-0.179663;0.95879;
28380;29/7/2018 0:53;28.39;0;0.121451;-0.179663;0.973276;
28440;29/7/2018 0:54;28.38;0;0.121451;-0.179663;0.95879;
28500;29/7/2018 0:55;28.37;0;0.121451;-0.179663;0.95879;
28560;29/7/2018 0:56;28.37;0;0.121451;-0.179663;0.95879;
28620;29/7/2018 0:57;28.39;0;0.121451;-0.179663;0.95879;
28680;29/7/2018 0:58;28.4;0;0.121451;-0.179663;0.95879;
28740;29/7/2018 0:59;28.37;0;0.121451;-0.179663;0.95879;
28800;29/7/2018 1:00;28.36;0;0.121451;-0.179663;0.95879;
28860;29/7/2018 1:01;28.36;0;0.121451;-0.179663;0.95879;
28920;29/7/2018 1:02;28.35;0;0.121451;-0.179663;0.95879;
28980;29/7/2018 1:03;28.34;0;0.121451;-0.179663;0.95879;
29040;29/7/2018 1:04;28.32;0;0.121451;-0.179663;0.973276;
29100;29/7/2018 1:05;28.32;0;0.121451;-0.179663;0.95879;
29160;29/7/2018 1:06;28.32;0;0.121451;-0.179663;0.95879;
29220;29/7/2018 1:07;28.31;0;0.121451;-0.179663;0.95879;
29280;29/7/2018 1:08;28.29;0;0.121451;-0.179663;0.95879;
29340;29/7/2018 1:09;28.3;0;0.121451;-0.179663;0.95879;
29400;29/7/2018 1:10;28.29;0;0.121451;-0.179663;0.95879;
29460;29/7/2018 1:11;28.31;0;0.121451;-0.179663;0.95879;
29520;29/7/2018 1:12;28.29;0;0.121451;-0.179663;0.95879;
29580;29/7/2018 1:13;28.3;0;0.121451;-0.179663;0.973276;
29640;29/7/2018 1:14;28.3;0;0.121451;-0.179663;0.95879;
29700;29/7/2018 1:15;28.27;0;0.121451;-0.179663;0.95879;
29760;29/7/2018 1:16;28.27;0;0.121451;-0.179663;0.95879;
29820;29/7/2018 1:17;28.25;0;0.121451;-0.179663;0.95879;
29880;29/7/2018 1:18;28.23;0;0.121451;-0.179663;0.95879;
29940;29/7/2018 1:19;28.22;0;0.121451;-0.179663;0.973276;
30000;29/7/2018 1:20;28.21;0;0.121451;-0.179663;0.95879;
30060;29/7/2018 1:21;28.18;0;0.121451;-0.179663;0.973276;
30120;29/7/2018 1:22;28.15;0;0.121451;-0.179663;0.95879;
30180;29/7/2018 1:23;28.14;0;0.121451;-0.179663;0.95879;
30240;29/7/2018 1:24;28.17;0;0.121451;-0.179663;0.973276;
30300;29/7/2018 1:25;28.15;0;0.121451;-0.179663;0.95879;
30360;29/7/2018 1:26;28.16;0;0.121451;-0.179663;0.973276;
30420;29/7/2018 1:27;28.16;0;0.121451;-0.179663;0.95879;
30480;29/7/2018 1:28;28.16;0;0.121451;-0.179663;0.95879;
30540;29/7/2018 1:29;28.18;0;0.121451;-0.179663;0.95879;
30600;29/7/2018 1:30;28.14;0;0.121451;-0.179663;0.973276;
30660;29/7/2018 1:31;28.13;0;0.121451;-0.179663;0.95879;
